date,power_MW,air_temperature,relative_humidity,wind_speed
2016-03-27,14439.542,8.75,52.0,8.7
2016-03-28,15011.167,8.95,49.0,6.1
2016-03-29,16217.583,8.75,58.0,6.8
2016-03-30,16556.5,5.449999999999999,59.0,4.0
2016-03-31,17054.167,1.8,75.0,3.9
2016-04-01,16770.375,2.0,72.0,2.0
2016-04-02,15625.375,4.65,73.0,3.2
2016-04-03,15106.958,5.1,73.0,3.0
2016-04-04,15907.792,8.100000000000001,63.0,2.3
2016-04-05,15721.042,5.949999999999999,90.0,2.3
2016-04-06,15604.083,5.1,92.0,3.6
2016-04-07,15742.792,5.4,82.0,6.1
2016-04-08,15954.458,4.15,80.0,6.3
2016-04-09,15043.0,3.2,73.0,2.3
2016-04-10,14562.667,3.35,68.0,3.3
2016-04-11,15240.958,3.95,65.0,3.0
2016-04-12,15337.375,3.75,73.0,3.0
2016-04-13,15380.792,3.65,61.0,2.8
2016-04-14,15538.0,1.7000000000000002,68.0,3.5
2016-04-15,15671.625,3.45,81.0,3.4
2016-04-16,14364.667,4.85,73.0,2.9
2016-04-17,14343.167,4.300000000000001,75.0,2.6
2016-04-18,15273.917,5.6,74.0,4.5
2016-04-19,15170.917,5.85,75.0,5.9
2016-04-20,15055.75,4.35,79.0,4.3
2016-04-21,14911.667,4.95,81.0,7.9
2016-04-22,15232.083,3.45,83.0,7.6
2016-04-23,14864.875,1.5,87.0,4.0
2016-04-24,14753.583,1.3,79.0,2.4
2016-04-25,15856.292,1.95,56.0,2.7
2016-04-26,15563.292,3.15,75.0,2.4
2016-04-27,15318.583,2.05,82.0,3.8
2016-04-28,15372.417,4.75,63.0,4.6
2016-04-29,15165.792,7.4,61.0,7.9
2016-04-30,14596.25,9.4,50.0,7.2
2016-05-01,13770.833,10.15,47.0,5.5
2016-05-02,14918.75,8.8,55.0,5.1
2016-05-03,14478.125,10.6,63.0,5.1
2016-05-04,14166.708,9.1,64.0,3.2
2016-05-05,13090.625,10.7,47.0,3.2
2016-05-06,13264.167,11.55,56.0,2.9
2016-05-07,12161.333,11.5,62.0,2.8
2016-05-08,11645.75,11.35,76.0,2.7
2016-05-09,12801.333,11.95,71.0,3.2
2016-05-10,12882.042,10.8,73.0,3.8
2016-05-11,12847.542,7.85,59.0,3.8
2016-05-12,13160.25,8.25,77.0,6.2
2016-05-13,13683.75,5.15,78.0,6.6
2016-05-14,12803.75,5.55,80.0,5.0
2016-05-15,12305.417,6.6,75.0,5.5
2016-05-16,12635.583,7.3,70.0,3.2
2016-05-17,12446.417,7.05,68.0,5.1
2016-05-18,13730.792,5.5,73.0,2.6
2016-05-19,13577.583,5.6,68.0,2.7
2016-05-20,13476.25,8.65,67.0,4.7
2016-05-21,12228.042,12.1,68.0,2.8
2016-05-22,11967.792,14.1,65.0,4.6
2016-05-23,13207.208,11.25,89.0,5.8
2016-05-24,13433.125,8.35,79.0,3.4
2016-05-25,13153.833,8.75,75.0,3.0
2016-05-26,12918.208,9.2,69.0,3.5
2016-05-27,12497.625,13.25,51.0,3.0
2016-05-28,11334.5,16.15,53.0,6.4
2016-05-29,11190.208,15.6,67.0,3.4
2016-05-30,12089.25,16.1,72.0,3.4
2016-05-31,11882.667,17.200000000000003,77.0,5.4
2016-06-01,11750.167,14.75,86.0,4.4
2016-06-02,11686.958,13.75,83.0,4.1
2016-06-03,11591.917,11.7,69.0,5.3
2016-06-04,10968.167,10.1,65.0,3.9
2016-06-05,10747.875,10.0,59.0,3.2
2016-06-06,11815.708,11.55,64.0,3.6
2016-06-07,11965.375,12.95,69.0,6.3
2016-06-08,12131.25,9.75,70.0,8.6
2016-06-09,12457.0,7.55,68.0,5.9
2016-06-10,12361.042,7.85,68.0,3.7
2016-06-11,11454.75,9.9,66.0,4.9
2016-06-12,11186.0,11.3,64.0,4.3
2016-06-13,12174.083,10.95,63.0,4.7
2016-06-14,11975.833,11.45,61.0,3.7
2016-06-15,12049.625,13.35,70.0,4.2
2016-06-16,12058.458,15.65,78.0,4.9
2016-06-17,11936.917,13.7,85.0,8.4
2016-06-18,11259.292,10.5,86.0,9.5
2016-06-19,11287.0,8.8,87.0,8.2
2016-06-20,12460.292,11.3,61.0,5.0
2016-06-21,12161.5,14.6,82.0,2.1
2016-06-22,12111.0,13.35,74.0,2.9
2016-06-23,11898.833,15.65,75.0,4.0
2016-06-24,11824.167,15.95,78.0,3.5
2016-06-25,10957.667,14.9,85.0,5.7
2016-06-26,10843.25,14.75,74.0,2.9
2016-06-27,11749.833,17.65,76.0,4.7
2016-06-28,11945.875,13.9,79.0,3.2
2016-06-29,11945.208,14.25,62.0,3.1
2016-06-30,11940.833,18.15,52.0,5.2
2016-07-01,11669.875,16.8,59.0,4.3
2016-07-02,11057.167,16.6,68.0,5.3
2016-07-03,10970.708,13.25,79.0,3.3
2016-07-04,11870.542,13.25,71.0,3.8
2016-07-05,12185.792,14.5,70.0,4.5
2016-07-06,11881.083,12.85,77.0,8.2
2016-07-07,11850.208,11.7,69.0,4.4
2016-07-08,11456.958,12.45,68.0,3.3
2016-07-09,10733.708,13.8,72.0,5.8
2016-07-10,10510.042,15.1,65.0,2.8
2016-07-11,11184.875,16.7,74.0,3.4
2016-07-12,11168.917,16.1,81.0,4.0
2016-07-13,11132.542,14.35,92.0,6.0
2016-07-14,11267.667,13.25,81.0,5.5
2016-07-15,11237.125,12.85,74.0,3.1
2016-07-16,10589.542,12.3,84.0,3.1
2016-07-17,10448.083,12.95,83.0,3.5
2016-07-18,11212.417,13.35,76.0,4.7
2016-07-19,10325.375,13.15,74.0,3.8
2016-07-20,10853.375,15.75,75.0,2.9
